day,reference_date,stop_id,stop,municipality,eligible_center,available_boarding_in_game,exclusion_reasons,scheduled_routes,departures,first_departure,last_departure,max_gap_minutes,latitude,longitude
saturday,2026-10-03,398,S. Atherton St. near Parkway Plaza Apts,State College borough,True,True,,R,15,10:00,17:50,43,40.78592,-77.85542
saturday,2026-10-03,54,Shortlidge Rd at White Building,State College borough,True,True,,"BL, H, N, R, V, W",79,10:02,17:51,21,40.79905,-77.858991
saturday,2026-10-03,413,Southgate Dr at Highlandon Ct,State College borough,True,True,,R,15,10:01,17:50,42,40.774545,-77.860625
saturday,2026-10-03,418,Stratford Dr at Waupelani Dr,State College borough,True,True,,R,15,10:06,17:57,43,40.77425,-77.85708
saturday,2026-10-03,497,Trader Joes Plaza,Patton township,True,True,,"AC, H, N",54,10:04,17:53,28,40.809584,-77.902198
saturday,2026-10-03,153,University Dr at Jordan Center Gate D,College township,True,True,,WL,56,10:23,17:59,23,40.80741,-77.85592
saturday,2026-10-03,152,University Dr at Lot 83 West,State College borough,True,True,,WL,56,10:21,17:57,21,40.80462,-77.85201
saturday,2026-10-03,563,University Drive ramp at The Meridian,State College borough,True,True,,WL,56,10:19,17:55,19,40.80123,-77.85152
saturday,2026-10-03,513,Vairo Blvd at The Bryn Inbound,Patton township,True,True,,V,15,10:30,17:58,35,40.80993,-77.89189
saturday,2026-10-03,511,Vairo Blvd at The Pointe Inbound,Ferguson township,True,True,,V,15,10:29,17:57,35,40.810268,-77.890236
saturday,2026-10-03,512,Vairo Blvd at The Pointe Outbound,Ferguson township,True,True,,V,15,10:03,17:32,35,40.810001,-77.890587
saturday,2026-10-03,508,Vairo Blvd at Tremont Inbound lower,Patton township,True,True,,V,15,10:26,17:54,35,40.815521,-77.884628
saturday,2026-10-03,509,Vairo Blvd at Tremont Inbound upper,Ferguson township,True,True,,V,15,10:28,17:56,35,40.81246,-77.88627
saturday,2026-10-03,510,Vairo Blvd at Tremont Outbound,Ferguson township,True,True,,V,15,10:04,17:33,35,40.81222,-77.88628
saturday,2026-10-03,503,Vairo Blvd at Vairo Village (Upper),Patton township,True,True,,V,15,10:07,17:36,35,40.816269,-77.887268
saturday,2026-10-03,507,Vairo Blvd at Vairo Village(lower),Patton township,True,True,,V,15,10:06,17:35,35,40.81544,-77.88426
saturday,2026-10-03,504,Vairo Blvd opposite Vairo Village(Upper),Patton township,True,True,,V,15,10:25,17:53,35,40.81627,-77.88796
saturday,2026-10-03,506,Vairo Blvd opposite Vairo Village(lower),Patton township,True,True,,V,15,10:26,17:54,35,40.81588,-77.88646
saturday,2026-10-03,246,W Beaver Ave at S Barnard St,State College borough,True,True,,CC,18,10:05,17:44,27,40.78967,-77.86525
saturday,2026-10-03,289,W Beaver Ave at S Sparks St,State College borough,True,True,,CC,18,10:04,17:43,27,40.78802,-77.86745
saturday,2026-10-03,247,W College Ave at N Barnard St,State College borough,True,True,,CC,18,10:02,17:41,27,40.79103,-77.86617
saturday,2026-10-03,288,W College Ave at N Sparks St,State College borough,True,True,,CC,18,10:03,17:42,27,40.78862,-77.86939
saturday,2026-10-03,285,Walker Building,State College borough,True,True,,"AC, BL, H, N, R, V, W",94,10:00,17:59,16,40.79267,-77.86681
saturday,2026-10-03,403,Waupelani Dr at Brexx,State College borough,True,True,,R,15,10:05,17:54,42,40.782015,-77.850237
saturday,2026-10-03,406,Waupelani Dr at Executive House,State College borough,True,True,,R,15,10:04,17:54,43,40.7796,-77.85425
saturday,2026-10-03,409,Waupelani Dr at Hearthside,State College borough,True,True,,R,15,10:03,17:52,42,40.777605,-77.854585
saturday,2026-10-03,407,Waupelani Dr at Lions Gate Apts,State College borough,True,True,,R,15,10:04,17:53,42,40.77982,-77.85395
saturday,2026-10-03,408,Waupelani Dr at Nittany Gardens Apts,State College borough,True,True,,R,15,10:05,17:55,43,40.77789,-77.85471
saturday,2026-10-03,402,Waupelani Dr at S Allen St,State College borough,True,True,,R,15,10:06,17:55,42,40.78383,-77.848515
saturday,2026-10-03,410,Waupelani Dr at Southgate Dr Inbound,State College borough,True,True,,R,15,10:03,17:52,42,40.775585,-77.856265
saturday,2026-10-03,411,Waupelani Dr at Southgate Dr Outbound,State College borough,True,True,,R,15,10:06,17:56,43,40.77533,-77.85663
saturday,2026-10-03,64,Waupelani Dr at Waupelani Lofts,State College borough,True,True,,R,15,10:03,17:53,43,40.782265,-77.850159
saturday,2026-10-03,38,Waupelani Dr opposite Jaru Copy,State College borough,True,True,,R,15,10:02,17:52,43,40.783595,-77.848728
saturday,2026-10-03,329,Waupelani Drive at OBryan Lane,State College borough,True,True,,R,15,10:04,17:54,43,40.780695,-77.853079
saturday,2026-10-03,516,Williamsburg Sq. - Holiday Inn/Spring Hi,Patton township,True,True,,V,15,10:11,17:40,35,40.816315,-77.896873
sunday,2026-10-04,16,1003 W Aaron Dr near SC Collective,Ferguson township,True,True,,NV,16,10:15,17:45,30,40.802631,-77.898163
sunday,2026-10-04,371,1015 S Pugh St,State College borough,True,True,,RP,13,10:31,17:31,35,40.78894,-77.8492
